request_id,date,sector,client_request,commercial_proposal,budget_est,status
R-1000,2023-10-18,SEO,Need a quote for Backlink strategy by tomorrow.,"Professional Backlink strategy delivery. High quality, quick turnaround.",$1460,Rejected
R-1001,2023-10-26,SEO,Need a quote for Keyword research by tomorrow.,"Professional Keyword research delivery. High quality, quick turnaround.",$3396,Rejected
R-1002,2023-10-19,Design,Can you help with Vector illustrations? We are a startup.,"Professional Vector illustrations delivery. High quality, quick turnaround.",$3737,Negotiating
R-1003,2023-10-13,Mobile App,I need a Android bug fix for my tech startup.,"Professional Android bug fix delivery. High quality, quick turnaround.",$4716,Negotiating
R-1004,2023-09-24,Mobile App,Need a quote for iOS MVP by tomorrow.,"Professional iOS MVP delivery. High quality, quick turnaround.",$1591,Accepted
R-1005,2023-09-11,Translation,Can you help with Legal contract translation? We are a startup.,"Professional Legal contract translation delivery. High quality, quick turnaround.",$1665,Accepted
R-1006,2023-11-10,Translation,I need a App localization for my retail store.,"Professional App localization delivery. High quality, quick turnaround.",$136,Pending
R-1007,2023-11-22,IT Security,I need a Malware removal for my retail store.,"Professional Malware removal delivery. High quality, quick turnaround.",$413,Pending
R-1008,2023-09-11,SEO,I need a Technical audit for my tech startup.,"Professional Technical audit delivery. High quality, quick turnaround.",$4700,Negotiating
R-1009,2023-09-09,Mobile App,Need a quote for Flutter cross-platform app by tomorrow.,"Professional Flutter cross-platform app delivery. High quality, quick turnaround.",$3962,Negotiating
R-1010,2023-09-01,Marketing,I need a Google Ads setup for my retail store.,"Professional Google Ads setup delivery. High quality, quick turnaround.",$584,Rejected
R-1011,2023-09-27,Translation,Looking for a long-term partner for App localization.,"Professional App localization delivery. High quality, quick turnaround.",$1375,Rejected
R-1012,2023-09-04,Web Dev,Can you help with E-commerce store? We are a startup.,"Professional E-commerce store delivery. High quality, quick turnaround.",$3920,Negotiating
R-1013,2023-10-09,Marketing,Can you help with SMM strategy? We are a startup.,"Professional SMM strategy delivery. High quality, quick turnaround.",$969,Accepted
R-1014,2023-10-30,Marketing,Need a quote for Google Ads setup by tomorrow.,"Professional Google Ads setup delivery. High quality, quick turnaround.",$3513,Negotiating
R-1015,2023-11-04,Web Dev,I need a E-commerce store for my law firm.,"Professional E-commerce store delivery. High quality, quick turnaround.",$2202,Negotiating
R-1016,2023-09-27,SEO,Need a quote for Technical audit by tomorrow.,"Professional Technical audit delivery. High quality, quick turnaround.",$2553,Rejected
R-1017,2023-11-06,Data Science,Need a quote for PowerBI dashboard by tomorrow.,"Professional PowerBI dashboard delivery. High quality, quick turnaround.",$504,Accepted
R-1018,2023-09-21,Design,Need a quote for UI/UX for mobile app by tomorrow.,"Professional UI/UX for mobile app delivery. High quality, quick turnaround.",$4833,Negotiating
R-1019,2023-09-04,SEO,Can you help with Backlink strategy? We are a startup.,"Professional Backlink strategy delivery. High quality, quick turnaround.",$3700,Rejected
R-1020,2023-10-20,Translation,I need a App localization for my retail store.,"Professional App localization delivery. High quality, quick turnaround.",$4136,Negotiating
R-1021,2023-09-13,Mobile App,Looking for a long-term partner for Flutter cross-platform app.,"Professional Flutter cross-platform app delivery. High quality, quick turnaround.",$4362,Rejected
R-1022,2023-09-30,Translation,Need a quote for Legal contract translation by tomorrow.,"Professional Legal contract translation delivery. High quality, quick turnaround.",$2531,Accepted
R-1023,2023-10-31,Mobile App,Can you help with iOS MVP? We are a startup.,"Professional iOS MVP delivery. High quality, quick turnaround.",$4628,Negotiating
R-1024,2023-11-19,Translation,Looking for a long-term partner for Website proofreading.,"Professional Website proofreading delivery. High quality, quick turnaround.",$2522,Negotiating
R-1025,2023-09-10,Data Science,Urgent: Predictive model project. Budget is flexible.,"Professional Predictive model delivery. High quality, quick turnaround.",$3946,Accepted
R-1026,2023-10-29,Marketing,Can you help with Google Ads setup? We are a startup.,"Professional Google Ads setup delivery. High quality, quick turnaround.",$510,Pending
R-1027,2023-10-12,Design,I need a Logo redesign for my bakery.,"Professional Logo redesign delivery. High quality, quick turnaround.",$2257,Accepted
R-1028,2023-10-25,Mobile App,Can you help with Android bug fix? We are a startup.,"Professional Android bug fix delivery. High quality, quick turnaround.",$4008,Accepted
R-1029,2023-10-12,Design,I need a Brand identity for my tech startup.,"Professional Brand identity delivery. High quality, quick turnaround.",$3390,Negotiating
R-1030,2023-10-05,Mobile App,Can you help with Android bug fix? We are a startup.,"Professional Android bug fix delivery. High quality, quick turnaround.",$2519,Pending
R-1031,2023-10-23,SEO,Looking for a long-term partner for Backlink strategy.,"Professional Backlink strategy delivery. High quality, quick turnaround.",$521,Negotiating
R-1032,2023-09-18,Web Dev,Need a quote for React dashboard by tomorrow.,"Professional React dashboard delivery. High quality, quick turnaround.",$3034,Negotiating
R-1033,2023-11-25,Data Science,Need a quote for Data cleaning by tomorrow.,"Professional Data cleaning delivery. High quality, quick turnaround.",$4840,Rejected
R-1034,2023-11-15,SEO,I need a Keyword research for my SaaS.,"Professional Keyword research delivery. High quality, quick turnaround.",$1070,Negotiating
R-1035,2023-09-17,Mobile App,Can you help with Flutter cross-platform app? We are a startup.,"Professional Flutter cross-platform app delivery. High quality, quick turnaround.",$1508,Rejected
R-1036,2023-09-19,Data Science,I need a PowerBI dashboard for my tech startup.,"Professional PowerBI dashboard delivery. High quality, quick turnaround.",$1302,Pending
R-1037,2023-09-09,Translation,Need a quote for Legal contract translation by tomorrow.,"Professional Legal contract translation delivery. High quality, quick turnaround.",$364,Pending
R-1038,2023-09-28,SEO,Can you help with Keyword research? We are a startup.,"Professional Keyword research delivery. High quality, quick turnaround.",$328,Accepted
R-1039,2023-09-05,Marketing,Urgent: Influencer research project. Budget is flexible.,"Professional Influencer research delivery. High quality, quick turnaround.",$3215,Rejected
R-1040,2023-10-20,Data Science,Looking for a long-term partner for PowerBI dashboard.,"Professional PowerBI dashboard delivery. High quality, quick turnaround.",$4473,Negotiating
R-1041,2023-11-30,Web Dev,Looking for a long-term partner for E-commerce store.,"Professional E-commerce store delivery. High quality, quick turnaround.",$3383,Accepted
