request_id,date,sector,client_request,commercial_proposal,budget_est,status
R-1001,2023-09-01,Web Dev,"I need a WordPress landing page for my flower shop.","Turnkey WP site + hosting setup + 1h training.",$800,Accepted
R-1002,2023-09-02,Design,"Need a minimalist logo for a tech startup called 'Nexus'.","3 logo concepts, vector files, and favicon included.",$450,Pending
R-1003,2023-09-02,Translation,"Translate a 5-page legal contract from English to German.","Certified translation by a native jurist. 48h turnaround.",$0.15/word,Accepted
R-1004,2023-09-03,Content,"Write 4 SEO-optimized articles about 'Solar Energy' (1000 words).","Content Pack: Keyword research + 4 articles + meta descriptions.",$600,Negotiating
R-1005,2023-09-04,Data,"Scrape email addresses from 500 LinkedIn profiles (HR managers).","Lead generation service: formatted CSV delivery + verification.",$250,Rejected
R-1006,2023-09-04,Web Dev,"Fix a checkout bug on my Shopify store urgently.","Emergency debug session: Fixed within 4 hours guaranteed.",$200,Accepted
R-1007,2023-09-05,Video,"Edit a 2-hour webinar into a 15-minute highlight reel.","Editing + transitions + sound mixing. Draft in 3 days.",$350,Pending
R-1008,2023-09-06,Marketing,"Manage my Instagram account for one month (fashion brand).","Social Starter: 3 posts/week + story management + engagement.",$800,Accepted
R-1009,2023-09-07,Admin,"Organize my Google Drive and classify 3 years of invoices.","Virtual Assistant pack: 10 hours of sorting and filing.",$300,Pending
R-1010,2023-09-08,Design,"Design a pitch deck for investors (15 slides).","PowerPoint redesign: Custom graphics and charts included.",$550,Accepted
R-1011,2023-09-09,Dev Mobile,"Build an MVP for a dating app on iOS.","Flutter development: Login, matching, and chat features.",$12000,Rejected
R-1012,2023-09-09,Translation,"Localize our mobile app UI into Spanish and Italian.","App string localization (JSON files) + linguistic testing.",$900,Accepted
R-1013,2023-09-10,SEO,"Audit my website technical SEO and provide a report.","Full Technical Audit: Speed, broken links, and metadata analysis.",$400,Accepted
R-1014,2023-09-11,Design,"Create a 3D product mockup for a shampoo bottle.","Photorealistic 3D render (3 angles) + transparency mask.",$250,Pending
R-1015,2023-09-11,Web Dev,"Migrate my blog from Wix to WordPress without losing traffic.","Secure Migration: 301 redirects setup and content transfer.",$1000,Accepted
R-1016,2023-09-12,Copywriting,"Write a sales landing page for a new fitness course.","Direct response copywriting. Focus on conversion. 2 revisions.",$500,Rejected
R-1017,2023-09-13,Data,"Create a PowerBI dashboard to visualize my sales data.","Dashboard setup: Connection to Excel/SQL + 4 key visuals.",$750,Accepted
R-1018,2023-09-13,Security,"Perform a penetration test on our company server.","Basic Pen-test: Vulnerability scanning and report.",$2000,Pending
R-1019,2023-09-14,Music,"Compose a 30-second jingle for a podcast intro.","Original composition + mixing + full commercial rights.",$150,Accepted
R-1020,2023-09-15,Consulting,"Need business strategy advice for expanding to the UK market.","2h Strategy Call + Summary Report and market research.",$400,Accepted
R-1021,2023-09-16,Web Dev,"Install and configure a WooCommerce store theme.","Theme installation + demo content import + plugin setup.",$150,Accepted
R-1022,2023-09-17,Marketing,"Setup Google Ads campaign for a local dentist.","Campaign setup: Keywords, ad copy, and geo-targeting.",$350,Negotiating
R-1023,2023-09-18,Design,"Redesign a restaurant menu (PDF and Print ready).","Modern layout design. Delivery in InDesign and PDF formats.",$200,Accepted
R-1024,2023-09-18,Admin,"Data entry: Transfer 500 business cards into a spreadsheet.","Manual typing with accuracy check. Delivery in 24h.",$100,Pending
R-1025,2023-09-19,Dev Ops,"Deploy a Docker container to AWS EC2 instance.","DevOps Task: Server setup, Docker install, and deployment.",$300,Accepted
R-1026,2023-09-20,Translation,"Subtitle a 10-minute YouTube video in French.","SRT file creation with time-codes. Native translation.",$80,Accepted
R-1027,2023-09-21,Web Dev,"Custom JavaScript calculator for a mortgage website.","JS Script development, responsive styling, and embedding.",$600,Pending
R-1028,2023-09-22,Content,"Write 10 emails for a welcome automation sequence.","Email Marketing Pack: Strategy + Copy for 10 emails.",$700,Rejected
